country,capital_city,population,capital_city_region
Albania,Tirana,2775634,Tirana region
Andorra,Andorra la Vella,79824,Pyrenees
Armenia,Yerevan,3000756,Ararat
Austria,Vienna,9042528,Vienna region
Azerbaijan,Baku,10353296,South caucasus
Belarus,Minsk,9208701,Minsk region
Belgium,Brussels,11669446,Brussels-capital
Bosnia Herzegovina,Sarajevo,3233526,Sarajevo canton
Bulgaria,Sofia,6465097,Sofia city province
Croatia,Zagreb,3854000,City of zagreb administrative unit
Cyprus,Nicosia,1251488,Nicosia district
Czech Republic,Prague,10526073,Capital city of prague
Denmark,Copenhagen,5903037,Capital region of denmark
Estonia,Tallinn,1344768,Harju county
Finland,Helsinki,5556880,Uusimaa
France,Paris,67935660,Île-de-france
Georgia,Tbilisi,3688647,Tbilisi
Germany,Berlin,84079811,Land berlin
Greece,Athens,10566531,Attica
Hungary,Budapest,9683505,Central hungary
Iceland,Reykjavík,381900,Capital region
Ireland,Dublin,5086988,Dublin region
Italy,Rome,58856847,Lazio
Kosovo,Pristina,1761985,Balkan
Latvia,Riga,1883379,Rīgas plānošanas
Liechtenstein,Vaduz,39327,Unterland
Lithuania,Vilnius,2833000,Dzūkija
Luxembourg,Luxembourg,650774,N/a
Malta,Valletta,523417,Reġjun xlokk
Moldova,Chișinău,2592477,Balkan
Monaco,Monaco,36469,"Principality of monaco, city-state"
Montenegro,Podgorica,616159,Central region
Netherlands,Amsterdam,17703090,North holland
North Macedonia,Skopje,2057679,Greater skopje
Norway,Oslo,5457127,Oslo metro
Poland,Warsaw,37561599,Mazowieckie województwo province
Portugal,Lisbon,10379007,Lisbon region
Romania,Bucharest,18956666,Bucharest municipality
Russia,Moscow,143555736,Moscow oblast
San Marino,City of San Marino,33660,N/a
Serbia,Belgrade,6760087,Belegrade administrative region
Slovak Republic,Bratislava,5431752,Bratislava region
Slovenia,Ljubljana,2108732,Ljubljana urban region
Spain,Madrid,47615034,Madrid provincia
Sweden,Stockholm,10486941,Stockholm region
Switzerland,Bern,8769741,Zürich district
Turkey,Ankara,85279553,Istanbul/constantinople region
Ukraine,Kiev,38000000,Kyiv oblast
United Kingdom,London,66971411,Greater london region
Vatican City,Vatican City,764,Vatican city
